id,order_number,order_date,payment_type,amount,customer_id,status
27,ORD-2024-000027,2024-09-17,paypal,1607.95,CUST-4759,completed
28,ORD-2024-000028,2024-08-17,paypal,900.68,CUST-6223,completed
29,ORD-2024-000029,2024-11-20,paypal,957.47,CUST-1986,processing
30,ORD-2024-000030,2024-04-04,debit_card,1389.1,CUST-3723,pending
31,ORD-2024-000031,2024-10-03,debit_card,815.76,CUST-4027,completed
32,ORD-2024-000032,2024-03-05,debit_card,1738.99,CUST-6422,processing
33,ORD-2024-000033,2024-02-12,debit_card,940.0,CUST-7889,pending
34,ORD-2024-000034,2024-10-03,bank_transfer,405.48,CUST-9883,processing
35,ORD-2024-000035,2024-11-07,apple_pay,363.73,CUST-1389,processing
36,ORD-2024-000036,2024-02-01,debit_card,802.47,CUST-3503,processing
37,ORD-2024-000037,2024-04-27,bank_transfer,1318.76,CUST-6602,cancelled
38,ORD-2024-000038,2024-06-27,bank_transfer,1254.3,CUST-1396,completed
39,ORD-2024-000039,2024-07-30,bank_transfer,1937.39,CUST-3745,completed
40,ORD-2024-000040,2024-06-06,bank_transfer,645.51,CUST-8359,refunded
41,ORD-2024-000041,2024-01-19,paypal,1951.98,CUST-9309,pending
42,ORD-2024-000042,2024-07-18,apple_pay,557.87,CUST-8849,refunded
43,ORD-2024-000043,2024-06-19,apple_pay,44.15,CUST-5634,refunded
44,ORD-2024-000044,2024-01-21,apple_pay,1340.58,CUST-9108,completed
45,ORD-2024-000045,2024-08-22,paypal,1676.37,CUST-1860,cancelled
46,ORD-2024-000046,2024-07-01,debit_card,332.25,CUST-1680,processing
47,ORD-2024-000047,2024-03-16,credit_card,1060.31,CUST-4743,refunded
48,ORD-2024-000048,2024-04-07,debit_card,1723.98,CUST-3802,completed
49,ORD-2024-000049,2024-10-02,credit_card,1586.78,CUST-5481,completed
50,ORD-2024-000050,2024-09-22,debit_card,1290.81,CUST-5424,pending
51,ORD-2024-000051,2024-12-29,apple_pay,1605.19,CUST-6403,cancelled
52,ORD-2024-000052,2024-02-05,credit_card,795.5,CUST-5012,cancelled
53,ORD-2024-000053,2024-12-17,paypal,544.21,CUST-1884,refunded
54,ORD-2024-000054,2024-08-14,credit_card,761.38,CUST-4790,pending
55,ORD-2024-000055,2024-03-07,paypal,1686.49,CUST-4471,processing
56,ORD-2024-000056,2024-04-12,debit_card,1012.42,CUST-2992,cancelled
57,ORD-2024-000057,2024-09-14,bank_transfer,1860.08,CUST-7684,pending
58,ORD-2024-000058,2024-10-22,debit_card,826.07,CUST-6719,pending
59,ORD-2024-000059,2024-09-20,debit_card,878.23,CUST-8061,cancelled
60,ORD-2024-000060,2024-11-15,bank_transfer,218.8,CUST-6768,cancelled
61,ORD-2024-000061,2024-08-23,credit_card,679.19,CUST-4062,processing
62,ORD-2024-000062,2024-07-13,bank_transfer,1453.9,CUST-2795,processing
63,ORD-2024-000063,2024-03-08,debit_card,1841.42,CUST-4093,pending
64,ORD-2024-000064,2024-03-09,bank_transfer,1457.25,CUST-5044,processing
65,ORD-2024-000065,2024-02-25,debit_card,765.13,CUST-4438,cancelled
66,ORD-2024-000066,2024-01-25,apple_pay,1037.66,CUST-6030,completed
67,ORD-2024-000067,2024-02-22,apple_pay,458.9,CUST-8465,refunded
68,ORD-2024-000068,2024-06-13,paypal,376.15,CUST-7124,refunded
69,ORD-2024-000069,2024-09-26,paypal,1282.86,CUST-1097,refunded
70,ORD-2024-000070,2024-11-09,apple_pay,1889.77,CUST-9822,cancelled
71,ORD-2024-000071,2024-05-09,debit_card,76.46,CUST-2965,refunded
72,ORD-2024-000072,2024-08-11,paypal,786.13,CUST-3972,pending
73,ORD-2024-000073,2024-06-17,credit_card,781.99,CUST-2481,refunded
74,ORD-2024-000074,2024-05-12,bank_transfer,736.6,CUST-1897,cancelled
75,ORD-2024-000075,2024-03-16,credit_card,395.81,CUST-2690,processing
76,ORD-2024-000076,2024-03-03,credit_card,1248.0,CUST-2977,processing
77,ORD-2024-000077,2024-11-23,credit_card,614.0,CUST-4152,completed
78,ORD-2024-000078,2024-09-01,bank_transfer,1064.73,CUST-9774,cancelled
79,ORD-2024-000079,2024-05-25,bank_transfer,936.77,CUST-4470,refunded
80,ORD-2024-000080,2024-02-07,bank_transfer,1193.48,CUST-5100,completed
81,ORD-2024-000081,2024-05-21,credit_card,654.59,CUST-9419,completed
82,ORD-2024-000082,2024-07-29,credit_card,1189.38,CUST-5247,refunded
83,ORD-2024-000083,2024-05-05,apple_pay,1619.0,CUST-8753,processing
84,ORD-2024-000084,2024-10-03,apple_pay,1223.62,CUST-5377,refunded
85,ORD-2024-000085,2024-09-08,debit_card,1409.86,CUST-4873,cancelled
86,ORD-2024-000086,2024-01-24,debit_card,1758.85,CUST-5458,completed
87,ORD-2024-000087,2024-03-28,credit_card,1710.44,CUST-8018,refunded
88,ORD-2024-000088,2024-06-02,credit_card,866.8,CUST-9967,completed
89,ORD-2024-000089,2024-01-11,apple_pay,1765.75,CUST-9685,pending
90,ORD-2024-000090,2024-03-18,credit_card,650.14,CUST-5774,processing
91,ORD-2024-000091,2024-08-14,debit_card,173.66,CUST-1097,cancelled
92,ORD-2024-000092,2024-08-04,credit_card,1835.48,CUST-3461,refunded
93,ORD-2024-000093,2024-10-28,paypal,612.8,CUST-9806,cancelled
94,ORD-2024-000094,2024-08-07,credit_card,814.1,CUST-3984,refunded
95,ORD-2024-000095,2024-06-01,debit_card,1005.97,CUST-6154,refunded
96,ORD-2024-000096,2024-12-08,paypal,193.7,CUST-7325,cancelled
97,ORD-2024-000097,2024-01-20,apple_pay,1936.91,CUST-5004,completed
98,ORD-2024-000098,2024-04-25,paypal,599.79,CUST-4978,processing
99,ORD-2024-000099,2024-10-10,apple_pay,1821.77,CUST-5511,pending
100,ORD-2024-000100,2024-05-08,credit_card,628.94,CUST-6896,processing
101,ORD-2024-000101,2024-04-23,debit_card,93.0,CUST-7892,processing
102,ORD-2024-000102,2024-08-30,credit_card,963.16,CUST-3809,pending
103,ORD-2024-000103,2024-06-11,debit_card,1549.22,CUST-1547,refunded
104,ORD-2024-000104,2024-05-26,apple_pay,1507.49,CUST-2642,completed
105,ORD-2024-000105,2024-09-15,bank_transfer,95.56,CUST-5711,cancelled
106,ORD-2024-000106,2024-07-07,apple_pay,1913.48,CUST-2863,cancelled
107,ORD-2024-000107,2024-11-14,apple_pay,405.58,CUST-5331,processing
108,ORD-2024-000108,2024-05-08,paypal,796.13,CUST-8118,cancelled
109,ORD-2024-000109,2024-08-03,bank_transfer,1448.11,CUST-8201,cancelled
110,ORD-2024-000110,2024-08-19,credit_card,668.61,CUST-5426,processing
111,ORD-2024-000111,2024-11-07,debit_card,1864.4,CUST-9480,cancelled
112,ORD-2024-000112,2024-05-27,credit_card,573.06,CUST-8828,refunded
113,ORD-2024-000113,2024-02-13,credit_card,1276.45,CUST-2671,pending
114,ORD-2024-000114,2024-06-01,credit_card,285.55,CUST-5668,refunded
115,ORD-2024-000115,2024-01-25,bank_transfer,1346.49,CUST-7182,completed
116,ORD-2024-000116,2024-02-28,apple_pay,269.76,CUST-5625,completed
117,ORD-2024-000117,2024-01-08,bank_transfer,339.02,CUST-5188,pending
118,ORD-2024-000118,2024-04-03,bank_transfer,1782.36,CUST-3945,pending
119,ORD-2024-000119,2024-09-27,apple_pay,148.87,CUST-9875,refunded
120,ORD-2024-000120,2024-10-30,paypal,1980.35,CUST-8757,refunded
121,ORD-2024-000121,2024-06-02,apple_pay,398.83,CUST-7455,completed
122,ORD-2024-000122,2024-06-02,apple_pay,423.48,CUST-6184,cancelled
123,ORD-2024-000123,2024-05-05,bank_transfer,1522.96,CUST-7046,processing
124,ORD-2024-000124,2024-05-28,credit_card,1373.52,CUST-2184,processing
125,ORD-2024-000125,2024-09-18,apple_pay,41.42,CUST-1268,refunded
126,ORD-2024-000126,2024-07-14,bank_transfer,910.13,CUST-6669,cancelled
127,ORD-2024-000127,2024-07-08,credit_card,373.14,CUST-6412,completed
128,ORD-2024-000128,2024-08-07,debit_card,1621.36,CUST-5960,processing
129,ORD-2024-000129,2024-05-05,apple_pay,440.46,CUST-7439,cancelled
130,ORD-2024-000130,2024-12-06,paypal,1890.48,CUST-6065,pending
131,ORD-2024-000131,2024-10-23,credit_card,1038.36,CUST-2514,processing
132,ORD-2024-000132,2024-10-31,apple_pay,596.65,CUST-9009,completed
133,ORD-2024-000133,2024-09-03,apple_pay,534.54,CUST-9236,refunded
134,ORD-2024-000134,2024-05-11,paypal,1346.42,CUST-5502,refunded
135,ORD-2024-000135,2024-09-25,bank_transfer,1264.92,CUST-8941,processing
136,ORD-2024-000136,2024-05-10,paypal,42.64,CUST-5517,pending
137,ORD-2024-000137,2024-12-21,debit_card,918.2,CUST-4129,completed
138,ORD-2024-000138,2024-09-05,paypal,225.41,CUST-1905,pending
139,ORD-2024-000139,2024-07-09,paypal,200.67,CUST-2137,completed
140,ORD-2024-000140,2024-09-29,debit_card,396.29,CUST-3858,completed
141,ORD-2024-000141,2024-01-30,apple_pay,1471.03,CUST-4980,cancelled
142,ORD-2024-000142,2024-03-03,paypal,325.57,CUST-8537,processing
143,ORD-2024-000143,2024-10-12,bank_transfer,901.12,CUST-4723,completed
144,ORD-2024-000144,2024-11-06,debit_card,293.38,CUST-6631,cancelled
145,ORD-2024-000145,2024-05-13,debit_card,1140.46,CUST-5003,processing
146,ORD-2024-000146,2024-04-03,apple_pay,498.56,CUST-7455,refunded
147,ORD-2024-000147,2024-05-23,bank_transfer,1390.45,CUST-6212,refunded
148,ORD-2024-000148,2024-04-11,bank_transfer,702.76,CUST-5058,completed
149,ORD-2024-000149,2024-10-22,apple_pay,334.15,CUST-4129,cancelled
150,ORD-2024-000150,2024-06-12,bank_transfer,1098.02,CUST-8194,refunded
151,ORD-2024-000151,2024-06-18,credit_card,122.3,CUST-4504,cancelled
152,ORD-2024-000152,2024-11-13,paypal,1653.83,CUST-8028,pending
153,ORD-2024-000153,2024-08-14,debit_card,1763.02,CUST-7912,cancelled
154,ORD-2024-000154,2024-08-29,debit_card,914.26,CUST-2104,refunded
155,ORD-2024-000155,2024-08-26,debit_card,1255.3,CUST-8481,processing
156,ORD-2024-000156,2024-09-09,debit_card,1546.94,CUST-6847,processing
157,ORD-2024-000157,2024-01-27,paypal,1736.42,CUST-1953,pending
158,ORD-2024-000158,2024-10-10,bank_transfer,588.62,CUST-8627,processing
159,ORD-2024-000159,2024-06-08,apple_pay,1057.65,CUST-3223,cancelled
160,ORD-2024-000160,2024-05-20,debit_card,1713.21,CUST-5931,refunded
161,ORD-2024-000161,2024-03-04,credit_card,1949.26,CUST-5506,completed
162,ORD-2024-000162,2024-04-20,apple_pay,1875.11,CUST-2676,completed
163,ORD-2024-000163,2024-06-01,credit_card,1632.94,CUST-8083,processing
164,ORD-2024-000164,2024-05-18,debit_card,1790.11,CUST-1825,processing
165,ORD-2024-000165,2024-07-12,bank_transfer,109.73,CUST-4313,refunded
166,ORD-2024-000166,2024-06-02,apple_pay,976.6,CUST-8057,completed
167,ORD-2024-000167,2024-10-08,paypal,1919.75,CUST-8433,pending
168,ORD-2024-000168,2024-12-17,apple_pay,1363.82,CUST-9463,completed
169,ORD-2024-000169,2024-08-03,credit_card,1630.27,CUST-4487,completed
170,ORD-2024-000170,2024-02-17,paypal,1510.06,CUST-2413,refunded
171,ORD-2024-000171,2024-05-19,apple_pay,1225.05,CUST-6651,cancelled
172,ORD-2024-000172,2024-12-22,bank_transfer,1375.03,CUST-2541,refunded
173,ORD-2024-000173,2024-01-22,paypal,1365.13,CUST-1874,refunded
174,ORD-2024-000174,2024-01-13,paypal,601.37,CUST-5453,pending
175,ORD-2024-000175,2024-01-24,credit_card,1377.14,CUST-8207,refunded
176,ORD-2024-000176,2024-04-11,credit_card,1750.44,CUST-4950,completed
177,ORD-2024-000177,2024-12-08,debit_card,955.97,CUST-3061,refunded
178,ORD-2024-000178,2024-05-28,credit_card,41.71,CUST-3751,refunded
179,ORD-2024-000179,2024-02-06,debit_card,294.57,CUST-1290,refunded
180,ORD-2024-000180,2024-01-28,apple_pay,1316.45,CUST-2324,cancelled
181,ORD-2024-000181,2024-07-13,credit_card,750.43,CUST-9807,refunded
182,ORD-2024-000182,2024-06-26,debit_card,572.32,CUST-5174,pending
183,ORD-2024-000183,2024-05-02,apple_pay,1966.06,CUST-7962,pending
184,ORD-2024-000184,2024-03-01,debit_card,858.66,CUST-2765,pending
185,ORD-2024-000185,2024-05-27,bank_transfer,358.39,CUST-6854,cancelled
186,ORD-2024-000186,2024-04-01,debit_card,1174.3,CUST-4934,pending
187,ORD-2024-000187,2024-09-17,apple_pay,711.43,CUST-7532,completed
188,ORD-2024-000188,2024-10-13,credit_card,645.21,CUST-3752,completed
189,ORD-2024-000189,2024-10-15,bank_transfer,1406.24,CUST-5216,processing
190,ORD-2024-000190,2024-04-19,paypal,791.54,CUST-3878,completed
191,ORD-2024-000191,2024-03-13,debit_card,652.1,CUST-1626,cancelled
192,ORD-2024-000192,2024-09-13,paypal,1856.96,CUST-6006,cancelled
193,ORD-2024-000193,2024-09-23,credit_card,1436.52,CUST-5057,completed
194,ORD-2024-000194,2024-08-10,paypal,335.63,CUST-5525,refunded
195,ORD-2024-000195,2024-01-29,bank_transfer,1960.99,CUST-2332,completed
196,ORD-2024-000196,2024-09-24,paypal,1257.86,CUST-3138,refunded
197,ORD-2024-000197,2024-08-24,credit_card,412.28,CUST-6679,completed
198,ORD-2024-000198,2024-10-11,bank_transfer,99.74,CUST-2719,pending
199,ORD-2024-000199,2024-09-23,debit_card,1391.77,CUST-1671,pending
200,ORD-2024-000200,2024-12-12,credit_card,841.47,CUST-2416,cancelled
201,ORD-2024-000201,2024-07-31,credit_card,972.28,CUST-8221,completed
202,ORD-2024-000202,2024-08-26,apple_pay,951.74,CUST-6403,pending
203,ORD-2024-000203,2024-12-09,paypal,270.76,CUST-6058,completed
204,ORD-2024-000204,2024-09-17,paypal,1417.11,CUST-9116,completed
205,ORD-2024-000205,2024-08-08,apple_pay,1313.87,CUST-6299,processing
206,ORD-2024-000206,2024-05-30,paypal,1597.53,CUST-8806,refunded
207,ORD-2024-000207,2024-08-21,credit_card,359.37,CUST-7491,pending
208,ORD-2024-000208,2024-11-26,debit_card,710.42,CUST-7743,pending
209,ORD-2024-000209,2024-08-24,bank_transfer,109.33,CUST-5818,refunded
210,ORD-2024-000210,2024-06-01,credit_card,1459.78,CUST-5081,cancelled
211,ORD-2024-000211,2024-05-30,debit_card,1341.26,CUST-3677,processing
212,ORD-2024-000212,2024-12-24,apple_pay,750.97,CUST-4928,cancelled
213,ORD-2024-000213,2024-01-17,apple_pay,10.32,CUST-7438,processing
214,ORD-2024-000214,2024-02-29,paypal,223.87,CUST-2009,completed
215,ORD-2024-000215,2024-07-05,debit_card,692.12,CUST-1395,cancelled
216,ORD-2024-000216,2024-02-07,paypal,837.89,CUST-1785,pending
217,ORD-2024-000217,2024-11-28,paypal,1447.08,CUST-7905,cancelled
218,ORD-2024-000218,2024-12-15,paypal,1845.7,CUST-4816,completed
219,ORD-2024-000219,2024-09-29,bank_transfer,43.85,CUST-6579,cancelled
220,ORD-2024-000220,2024-01-23,debit_card,1698.72,CUST-6171,cancelled
221,ORD-2024-000221,2024-07-23,bank_transfer,108.18,CUST-4402,processing
222,ORD-2024-000222,2024-02-16,paypal,229.22,CUST-3670,completed
223,ORD-2024-000223,2024-08-03,apple_pay,1055.72,CUST-9639,processing
224,ORD-2024-000224,2024-06-29,bank_transfer,480.64,CUST-8495,completed
225,ORD-2024-000225,2024-12-16,paypal,1995.81,CUST-4391,processing
226,ORD-2024-000226,2024-01-02,debit_card,774.36,CUST-5462,refunded
227,ORD-2024-000227,2024-07-07,paypal,1017.54,CUST-3348,completed
228,ORD-2024-000228,2024-05-03,debit_card,1124.87,CUST-5503,refunded
229,ORD-2024-000229,2024-06-09,credit_card,1323.6,CUST-5575,cancelled
230,ORD-2024-000230,2024-10-15,debit_card,1042.58,CUST-3792,refunded
231,ORD-2024-000231,2024-10-09,apple_pay,350.27,CUST-5507,cancelled
232,ORD-2024-000232,2024-01-09,debit_card,1102.23,CUST-6690,cancelled
233,ORD-2024-000233,2024-06-26,credit_card,972.21,CUST-5695,pending
234,ORD-2024-000234,2024-01-11,apple_pay,1707.64,CUST-4435,cancelled
235,ORD-2024-000235,2024-11-21,bank_transfer,60.67,CUST-5355,cancelled
236,ORD-2024-000236,2024-09-19,paypal,435.84,CUST-1070,completed
237,ORD-2024-000237,2024-02-15,paypal,1135.46,CUST-5581,pending
238,ORD-2024-000238,2024-05-11,apple_pay,936.95,CUST-4995,refunded
239,ORD-2024-000239,2024-06-27,bank_transfer,355.87,CUST-1866,completed
240,ORD-2024-000240,2024-12-04,debit_card,1748.23,CUST-4829,cancelled
241,ORD-2024-000241,2024-08-10,bank_transfer,1939.21,CUST-6550,processing
242,ORD-2024-000242,2024-01-19,apple_pay,617.29,CUST-9533,processing
243,ORD-2024-000243,2024-07-12,paypal,1578.37,CUST-6642,pending
244,ORD-2024-000244,2024-10-23,credit_card,1223.99,CUST-6774,processing
245,ORD-2024-000245,2024-09-29,bank_transfer,1153.85,CUST-6873,completed
246,ORD-2024-000246,2024-08-19,bank_transfer,903.7,CUST-2259,cancelled
247,ORD-2024-000247,2024-07-05,paypal,576.9,CUST-7275,cancelled
248,ORD-2024-000248,2024-10-14,debit_card,1495.07,CUST-2078,processing
249,ORD-2024-000249,2024-10-12,apple_pay,1321.21,CUST-8073,refunded
250,ORD-2024-000250,2024-06-28,paypal,281.83,CUST-9837,refunded
251,ORD-2024-000251,2024-11-24,paypal,1710.94,CUST-9820,refunded
252,ORD-2024-000252,2024-01-04,paypal,473.35,CUST-9561,refunded
253,ORD-2024-000253,2024-11-08,credit_card,220.5,CUST-5323,completed
254,ORD-2024-000254,2024-12-23,paypal,749.19,CUST-9392,pending
255,ORD-2024-000255,2024-10-27,paypal,599.98,CUST-8696,cancelled
256,ORD-2024-000256,2024-05-19,bank_transfer,1011.25,CUST-1072,pending
257,ORD-2024-000257,2024-08-10,apple_pay,1140.14,CUST-5403,pending
258,ORD-2024-000258,2024-04-04,paypal,1054.97,CUST-6677,pending
259,ORD-2024-000259,2024-06-30,bank_transfer,1872.71,CUST-9090,completed
260,ORD-2024-000260,2024-06-06,debit_card,191.44,CUST-5964,pending
261,ORD-2024-000261,2024-04-15,debit_card,1685.95,CUST-3345,pending
262,ORD-2024-000262,2024-10-24,apple_pay,1436.03,CUST-5039,completed
263,ORD-2024-000263,2024-01-22,bank_transfer,1924.03,CUST-9976,pending
264,ORD-2024-000264,2024-11-02,bank_transfer,1466.91,CUST-7795,cancelled
265,ORD-2024-000265,2024-02-26,credit_card,660.17,CUST-4017,completed
266,ORD-2024-000266,2024-05-01,apple_pay,149.9,CUST-1540,pending
267,ORD-2024-000267,2024-05-07,paypal,56.83,CUST-2608,completed
268,ORD-2024-000268,2024-08-13,credit_card,1101.18,CUST-8767,refunded
269,ORD-2024-000269,2024-12-31,debit_card,624.09,CUST-2471,pending
270,ORD-2024-000270,2024-09-18,debit_card,1241.02,CUST-6481,completed
271,ORD-2024-000271,2024-05-19,credit_card,1310.86,CUST-6028,processing
272,ORD-2024-000272,2024-03-14,bank_transfer,1384.98,CUST-2222,pending
273,ORD-2024-000273,2024-08-17,bank_transfer,658.84,CUST-9487,processing
274,ORD-2024-000274,2024-12-16,credit_card,283.85,CUST-2990,processing
275,ORD-2024-000275,2024-10-10,bank_transfer,264.68,CUST-5436,processing
276,ORD-2024-000276,2024-04-24,credit_card,1743.13,CUST-5083,processing
277,ORD-2024-000277,2024-08-12,credit_card,198.49,CUST-9738,cancelled
278,ORD-2024-000278,2024-05-24,paypal,55.12,CUST-1086,cancelled
279,ORD-2024-000279,2024-11-07,apple_pay,42.3,CUST-1655,completed
280,ORD-2024-000280,2024-06-10,bank_transfer,1103.85,CUST-1420,processing
281,ORD-2024-000281,2024-09-01,paypal,538.17,CUST-2099,completed
282,ORD-2024-000282,2024-01-05,debit_card,191.18,CUST-6559,refunded
283,ORD-2024-000283,2024-05-18,apple_pay,930.77,CUST-1886,pending
284,ORD-2024-000284,2024-02-06,paypal,1525.13,CUST-9238,cancelled
285,ORD-2024-000285,2024-09-01,bank_transfer,1156.73,CUST-8171,refunded
286,ORD-2024-000286,2024-11-29,debit_card,658.89,CUST-9160,processing
287,ORD-2024-000287,2024-01-04,debit_card,464.09,CUST-3952,refunded
288,ORD-2024-000288,2024-11-16,credit_card,983.7,CUST-7557,completed
289,ORD-2024-000289,2024-05-23,debit_card,418.02,CUST-4047,pending
290,ORD-2024-000290,2024-04-24,credit_card,1072.65,CUST-8617,completed
291,ORD-2024-000291,2024-10-13,credit_card,1102.02,CUST-6655,cancelled
292,ORD-2024-000292,2024-08-30,paypal,1218.51,CUST-4252,cancelled
293,ORD-2024-000293,2024-08-01,debit_card,908.65,CUST-2351,processing
294,ORD-2024-000294,2024-07-04,bank_transfer,1899.52,CUST-2747,pending
295,ORD-2024-000295,2024-10-09,paypal,64.74,CUST-7162,cancelled
296,ORD-2024-000296,2024-11-11,paypal,268.77,CUST-4286,cancelled
297,ORD-2024-000297,2024-11-25,credit_card,1796.91,CUST-9640,pending
298,ORD-2024-000298,2024-04-02,apple_pay,821.69,CUST-3292,refunded
299,ORD-2024-000299,2024-10-03,debit_card,1155.15,CUST-1812,refunded
300,ORD-2024-000300,2024-08-31,bank_transfer,80.34,CUST-5957,completed
301,ORD-2024-000301,2024-11-18,debit_card,740.09,CUST-9776,pending
302,ORD-2024-000302,2024-04-28,credit_card,302.21,CUST-9650,pending
303,ORD-2024-000303,2024-08-19,bank_transfer,1268.45,CUST-9798,refunded
304,ORD-2024-000304,2024-04-07,credit_card,200.94,CUST-2431,processing
305,ORD-2024-000305,2024-02-14,apple_pay,182.55,CUST-2797,cancelled
306,ORD-2024-000306,2024-10-18,debit_card,106.67,CUST-5251,pending
307,ORD-2024-000307,2024-11-14,apple_pay,57.46,CUST-7171,processing
308,ORD-2024-000308,2024-08-29,apple_pay,729.15,CUST-6494,refunded
309,ORD-2024-000309,2024-08-17,paypal,617.52,CUST-9507,processing
310,ORD-2024-000310,2024-11-06,bank_transfer,1198.15,CUST-2289,pending
311,ORD-2024-000311,2024-03-22,debit_card,980.97,CUST-7009,completed
312,ORD-2024-000312,2024-06-25,apple_pay,1381.26,CUST-6437,pending
313,ORD-2024-000313,2024-04-23,paypal,682.97,CUST-4611,completed
314,ORD-2024-000314,2024-01-03,bank_transfer,1987.91,CUST-9614,refunded
315,ORD-2024-000315,2024-11-05,paypal,1373.75,CUST-4565,cancelled
316,ORD-2024-000316,2024-07-14,apple_pay,1144.55,CUST-1087,completed
317,ORD-2024-000317,2024-03-23,debit_card,71.1,CUST-2069,pending
318,ORD-2024-000318,2024-09-08,debit_card,118.74,CUST-1552,completed
319,ORD-2024-000319,2024-04-26,debit_card,909.02,CUST-5931,processing
320,ORD-2024-000320,2024-12-19,credit_card,178.9,CUST-3846,refunded
321,ORD-2024-000321,2024-09-15,paypal,1225.49,CUST-7713,completed
322,ORD-2024-000322,2024-01-06,apple_pay,28.48,CUST-8651,pending
323,ORD-2024-000323,2024-10-21,credit_card,1006.08,CUST-2875,cancelled
324,ORD-2024-000324,2024-01-29,apple_pay,1673.52,CUST-3298,refunded
325,ORD-2024-000325,2024-02-20,paypal,1660.53,CUST-4134,pending
326,ORD-2024-000326,2024-08-08,apple_pay,1703.68,CUST-6207,cancelled
327,ORD-2024-000327,2024-03-18,credit_card,1335.08,CUST-4125,completed
328,ORD-2024-000328,2024-11-04,bank_transfer,1019.17,CUST-5355,pending
329,ORD-2024-000329,2024-11-07,debit_card,1727.52,CUST-4865,refunded
330,ORD-2024-000330,2024-10-13,paypal,1931.02,CUST-4303,pending
331,ORD-2024-000331,2024-10-02,bank_transfer,1011.54,CUST-1222,processing
332,ORD-2024-000332,2024-04-17,debit_card,1871.38,CUST-9556,pending
333,ORD-2024-000333,2024-01-22,debit_card,274.56,CUST-3215,refunded
334,ORD-2024-000334,2024-07-19,credit_card,1258.25,CUST-2510,completed
335,ORD-2024-000335,2024-02-20,debit_card,1400.59,CUST-8626,cancelled
336,ORD-2024-000336,2024-09-14,apple_pay,295.16,CUST-4056,refunded
337,ORD-2024-000337,2024-07-08,credit_card,277.64,CUST-7314,cancelled
338,ORD-2024-000338,2024-11-03,debit_card,741.31,CUST-5527,cancelled
339,ORD-2024-000339,2024-04-15,debit_card,1802.1,CUST-1046,pending
340,ORD-2024-000340,2024-05-15,bank_transfer,1362.31,CUST-2575,cancelled
341,ORD-2024-000341,2024-03-26,debit_card,789.39,CUST-9103,cancelled
342,ORD-2024-000342,2024-08-09,bank_transfer,584.26,CUST-9929,completed
343,ORD-2024-000343,2024-05-02,paypal,1877.63,CUST-7485,completed
344,ORD-2024-000344,2024-09-16,debit_card,1554.09,CUST-4145,processing
345,ORD-2024-000345,2024-03-23,debit_card,1235.33,CUST-8925,completed
346,ORD-2024-000346,2024-11-30,paypal,1244.39,CUST-3973,completed
347,ORD-2024-000347,2024-01-17,bank_transfer,121.63,CUST-6299,pending
348,ORD-2024-000348,2024-03-03,credit_card,456.06,CUST-8710,cancelled
349,ORD-2024-000349,2024-11-10,credit_card,571.63,CUST-4444,pending
350,ORD-2024-000350,2024-09-23,credit_card,374.2,CUST-4048,refunded
351,ORD-2024-000351,2024-12-09,credit_card,1532.04,CUST-2352,cancelled
352,ORD-2024-000352,2024-12-01,credit_card,49.11,CUST-7903,pending
353,ORD-2024-000353,2024-09-25,bank_transfer,63.69,CUST-9197,completed
